proDelta[0] proIdx[0] proValid[0] proReady[0] proDelta[1] proIdx[1] proValid[1] proReady[1] proDelta[2] proIdx[2] proValid[2] proReady[2] proDelta[3] proIdx[3] proValid[3] proReady[3] proDelta[4] proIdx[4] proValid[4] proReady[4] proDelta[5] proIdx[5] proValid[5] proReady[5] proDelta[6] proIdx[6] proValid[6] proReady[6] proDelta[7] proIdx[7] proValid[7] proReady[7] CUDelta[0] CUIdx[0] CUValid[0] CUReady[0] CUDelta[1] CUIdx[1] CUValid[1] CUReady[1] CUDelta[2] CUIdx[2] CUValid[2] CUReady[2] CUDelta[3] CUIdx[3] CUValid[3] CUReady[3] CUDelta[4] CUIdx[4] CUValid[4] CUReady[4] CUDelta[5] CUIdx[5] CUValid[5] CUReady[5] CUDelta[6] CUIdx[6] CUValid[6] CUReady[6] CUDelta[7] CUIdx[7] CUValid[7] CUReady[7] 
0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 
0000 00 0 0 39b9 43 1 0 385c 09 1 0 392b 24 1 0 3b22 58 1 0 0000 00 0 0 0000 00 0 0 3a55 57 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 
0000 00 0 0 39b9 43 1 0 385c 09 1 0 392b 24 1 0 3b22 58 1 0 35e4 c5 1 0 0000 00 0 0 3a55 57 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 
3a3f 8e 1 0 39b9 43 1 0 385c 09 1 0 392b 24 1 0 3b22 58 1 0 35e4 c5 1 0 391f 09 1 0 3a55 57 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 
3a3f 8e 1 0 39b9 43 1 0 385c 09 1 0 392b 24 1 0 3b22 58 1 0 35e4 c5 1 0 391f 09 1 0 3a55 57 1 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 0 
3a3f 8e 1 0 39b9 43 1 0 385c 09 1 0 392b 24 1 0 3b22 58 1 0 35e4 c5 1 0 391f 09 1 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 3a55 57 1 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 
3a3f 8e 1 1 39b9 43 1 1 385c 09 1 0 392b 24 1 1 3b22 58 1 1 35e4 c5 1 0 391f 09 1 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 
0000 00 0 0 3b8d 69 1 0 385c 09 1 0 0000 00 0 0 0000 00 0 0 35e4 c5 1 0 391f 09 1 0 36fe 41 1 0 39b9 43 1 1 3a3f 8e 1 1 0000 00 0 0 3b22 58 1 1 392b 24 1 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 
3bc2 66 1 0 3b8d 69 1 1 385c 09 1 0 3178 52 1 0 3a01 63 1 0 35e4 c5 1 0 391f 09 1 0 36fe 41 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 
3bc2 66 1 0 0000 00 0 0 385c 09 1 0 3178 52 1 0 3a01 63 1 0 35e4 c5 1 0 391f 09 1 0 36fe 41 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 3b8d 69 1 1 0000 00 0 1 0000 00 0 1 
