          1500000000 0100001101011110	 0 0 1
          2500000000 1111011110010011	 0 0 1
          3500000000 1011110010010110	 0 0 1
          4500000000 1110000001100110	 0 0 1
          5500000000 1111111110000000	 0 1 1
          6500000000 0111111110000000	 0 1 1
          7500000000 1011111010001101	 0 0 1
          8500000000 0111111110000000	 0 1 1
          9500000000 1111011010010000	 0 0 1
         10500000000 1100000001000110	 0 0 1
         11500000000 1111111110000000	 0 1 1
         12500000000 1111111110000000	 0 1 1
         13500000000 1011101111100100	 0 0 1
         14500000000 1010011100100100	 0 0 1
         15500000000 1000110010111110	 0 0 1
         16500000000 1011111110101100	 0 0 1
         17500000000 0101101101100111	 0 0 1
         18500000000 1011001000011010	 0 0 1
         19500000000 0100101010110110	 0 0 1
         20500000000 1101010000001101	 0 0 1
         21500000000 0110010010101011	 0 0 1
         22500000000 0011101110000011	 0 0 1
         23500000000 1110010011010100	 0 0 1
         24500000000 1101011100011010	 0 0 1
         25500000000 1000101100010100	 0 0 1
         26500000000 0111111110000000	 0 1 1
         27500000000 1101100010101101	 0 0 1
         28500000000 1011110110111110	 0 0 1
         29500000000 0101000100011100	 0 0 0
         30500000000 1101111110110111	 0 0 1
         31500000000 0010101101000001	 0 0 1
         32500000000 0111000011101110	 0 0 1
         33500000000 1011111100011100	 0 0 1
         34500000000 1100001001111100	 0 0 1
         35500000000 0111111110000000	 0 1 1
         36500000000 0100000110101000	 0 0 1
         37500000000 1011111000000110	 0 0 0
         38500000000 0011110110011101	 0 0 1
         39500000000 0011110011001110	 0 0 1
         40500000000 0111110101110100	 0 0 0
         41500000000 0001000010100101	 0 0 1
         42500000000 0000100111011110	 0 0 1
         43500000000 0111111110000000	 0 1 1
         44500000000 0001000101011111	 0 0 0
         45500000000 0100001011000110	 0 0 1
         46500000000 0010000110010011	 0 0 1
         47500000000 1011110010001010	 0 0 1
         48500000000 1011110101001100	 0 0 1
         49500000000 0110101001000100	 0 0 1
         50500000000 0000111010100101	 0 0 0
         51500000000 1111111110000000	 0 1 1
