initialFinish CUDelta[0] CUIdx[0] CUValid[0] CUDelta[1] CUIdx[1] CUValid[1] CUDelta[2] CUIdx[2] CUValid[2] CUDelta[3] CUIdx[3] CUValid[3] CUDelta[4] CUIdx[4] CUValid[4] CUDelta[5] CUIdx[5] CUValid[5] CUDelta[6] CUIdx[6] CUValid[6] CUDelta[7] CUIdx[7] CUValid[7] rowReady rowValid binIdx rowIdx rowDelta[0] rowDelta[1] rowDelta[2] rowDelta[3] rowDelta[4] rowDelta[5] rowDelta[6] rowDelta[7] CUReady[0] CUReady[1] CUReady[2] CUReady[3] CUReady[4] CUReady[5] CUReady[6] CUReady[7] PEReady[0] PEReady[1] PEReady[2] PEReady[3]
0 0000 00 0 0000 00 0 0000 00 0 0000 00 0 0000 00 0 0000 00 0 0000 00 0 0000 00 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 0 
0 38be 03 1 385c 4b 1 3626 d6 0 3bb6 99 0 3a7f a0 1 3b68 68 1 392f 33 1 3a3a f8 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 1 
0 3a3f 87 0 38a8 4f 0 382d 17 1 31f6 9f 0 388c 24 1 30ca 2c 1 3b8d 72 0 38e8 79 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 1 
0 3178 83 0 350c 4c 1 28eb d4 0 2e88 dc 1 3bf6 20 0 3776 ea 1 3568 75 0 306c 7b 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
0 3ab4 80 1 3b07 8d 0 38d7 57 0 3711 da 1 34bd a1 0 3b0b ab 1 398a f4 1 3812 b9 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 1 
0 20ca 83 0 39bb 0e 1 365d d0 0 3aa2 98 1 388f a2 1 3bb3 28 1 3656 b2 0 3323 3d 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 1 
0 34c2 41 1 3967 08 1 3b0e 50 0 3947 5d 1 3927 24 1 3799 ad 1 3948 30 1 39fe 3e 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 1 
0 386a 84 0 3938 ca 1 3085 16 1 3b23 5d 1 372b e0 0 39b7 ed 1 3b3d 32 1 38ed fd 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 1 
0 3684 41 1 35f9 8a 0 3aee d1 0 3362 df 1 39d7 22 0 37d5 68 1 24be f2 1 3aff b8 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
0 3800 c0 0 339d 4b 1 396f 96 1 39d7 99 1 32cc a5 1 3b8e 6d 0 3bc3 77 1 2b6d b9 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 1 
0 31bf 46 1 39f3 88 1 384b d1 1 3783 9f 0 3437 a0 0 3b0d e8 0 38b5 f6 1 03a1 3f 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
0 374c c4 0 3b94 8e 0 3505 94 0 2692 df 0 39d8 60 0 3471 6b 0 39fa 72 0 303a 7b 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
0 30a3 42 1 39c7 0a 1 39fd 92 1 39fe d8 0 3bb2 a1 0 396b 69 0 3b70 35 0 3be0 3e 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
0 3a4d 01 0 3bb1 0a 1 37e0 14 0 390b 9e 1 3ac2 61 1 22c7 6b 1 3a3e b6 1 37f5 7e 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
0 3213 c6 0 3bd8 0c 0 3bc9 95 0 3695 df 1 2d31 64 1 3b69 ec 0 39ce b1 1 34e0 3a 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
0 36ea 46 1 3ae2 0c 1 3419 90 0 34d3 5d 1 3832 66 0 3489 eb 1 3813 f6 0 3993 f8 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 1 
0 38b3 44 0 3045 08 1 29b6 93 0 3783 1b 0 389f e6 1 379b 6a 1 3815 75 1 3932 bc 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 1 
0 3024 42 1 3750 ca 1 3a67 d2 0 3b3b da 0 38a4 a0 1 3917 a8 0 2100 77 0 3755 7e 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
0 389b 41 0 3bf0 8d 1 3908 d5 0 3b7e 5a 1 3acb 60 0 2faa 6a 0 242e 30 1 384a 3a 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 1 
0 2b2a 84 0 38ea 8a 0 381b 53 1 3408 1e 1 3a2b e1 1 2f64 a8 0 35fd 75 0 3137 bf 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 0 
0 3a44 c6 0 3978 cd 1 3954 93 0 37f6 d9 1 39a7 a5 0 3bc0 6f 0 29e4 70 0 3b80 f8 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 1 
0 2fbf 80 0 2ec7 4d 0 35bb 90 0 39d8 19 0 3040 21 0 39fe a9 0 3808 f0 0 3ab7 78 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
0 3af0 43 0 264d 4f 0 3bf5 94 0 38e5 1a 0 36ae 24 1 2e67 6c 0 3bbe b4 0 30c0 f8 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
0 345e 06 0 33f3 48 1 3472 10 0 3a01 dd 0 3bbd e6 1 340f ab 0 381a b4 1 3972 3d 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
0 3969 05 0 30bf 8d 0 39af d2 1 2647 9b 0 2dba 63 0 36cf 6b 1 3477 b4 1 2e5d 3a 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 1 
0 3344 00 0 38b6 4f 1 3957 d1 1 3814 18 0 3b5b 60 1 3829 ab 1 3760 f4 1 38fd b9 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
0 3af9 c7 0 3856 4b 0 3aa4 14 1 2f6e 98 0 363a 61 0 3b40 ae 1 3724 37 0 30ab bf 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 0 
0 3b07 c2 1 2bd1 ce 0 36f5 53 1 383b 1d 0 1a59 63 1 360d 6d 0 3950 75 1 2c0c 38 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 0 
